office,name,incumbent,meta,platform
Mayor,Andre Chabot,challenger,Andre Chabot - Mayor,"TAXES:My tax promise to Calgarians:1.	Keep tax increase at or below inflation. I pledge that I will not increase property taxes greater than inflation.2.	No more taking the tax room. I will never vote in favour of taking the provinces’ tax space.3.	No new taxes. Regardless of what authority the new city charter gives the Mayor, I will not support any new fee or tax.Changing the way we tax small businesses:We used to rely on big companies, especially the oil and gas sector to shoulder a large part of our nonresidential property tax. With the economic downturn, that revenue can no longer be relied upon, pushing more of the non‐residential tax burden to small business.We need to: Create specific categories for different types of businesses (ie. restaurants, small and large businesses) to minimize the shift in taxes from one sector to another.What this means to small business owners is that during tough economic times their incremental tax burden would be lessened regardless of what occurs in non‐residential sectors. They would not see a huge increase year over year which they are currently experiencing.SPENDING:I have been recognized as a fiscally responsible and detail oriented member of Council. I am proud of my record, I always show up with ideas on how to trim back and be more efficient.Municipal governments are challenged in delivering services to their residents due to the limited options to raise revenue. The bulk of the City’s revenue is raised through property tax, user fees and investment income. Sixty per cent of that revenue is spent on the City’s operating costs for salaries.•	I will call for restraint in future union salary increase to reflect our current economic reality and work towards achieving greater parity between private and public sector agreements.•	I will balance needs for service while being fiscally responsible.•	I commit to hiring subject matter experts in different fields, within the Mayor’s budget, to assess the efficiency of city departments to bring forward recommendations to improve the operational efficiency of The City.INFRASTRUCTURE:Council’s focus needs to be on building what we can afford, but also planning for the future. Major infrastructure projects like the Green Line are a great idea, but we don’t have the money to do it all at once.With new technology like autonomous vehicles hitting the market in the near future, we need to reassess our priorities to ensure that we can move people as efficiently as possible. We need to focus on improving existing infrastructure to respond to the increasing demand for private transportation, instead of focusing the priority solely on public transportation.As Mayor, I will continue to advocate for investments in public transportation and reprioritize the upgrades to current infrastructure and intersections to ease traffic congestion."
Mayor,Bill Smith,challenger,Bill Smith - Mayor,"“I am running for Mayor to get the city of Calgary back on course.  We need to control reckless spending, make streets safer and rein in excessive tax increases. These are the challenges the next council will face.  It will take a strong, creative, thoughtful leader to succeed. I am that leader. It’s time for a change. Calgary, we need a new Mayor.”STRONG COLLABORATIVE LEADERSHIPRespect begins at the top. I will work to create a team-focused environment at City Hall. A culture that establishes clear and meaningful priorities which has genuine respect for the community feedback process.And the city must keep its word. We will not abandon the residents of Midfield Park. The city promised them an alternative location. That is what they shall have.An efficient city council needs to encourage the economy, not interfere with business. City bureaucracy and red tape needs to make way for responsible leadership to foster a strong economy.I will streamline regulations to guarantee response time for development applications. It takes too long for projects to get approved. We need to attract businesses to Calgary.That is what an efficient city council can do to encourage the economy.LOWER TAXES / COST CONTROLEffective leadership has been absent at City Hall. Council operations have degenerated to a point where new positions have been created that provide no direct value to Calgarians.  For example, the first ethics advisor and an integrity commissioner were hired in 2016 because council was unable to govern itself in a professional, ethical manner. A 2017 City Clerks’ report even proposed to pay $170 thousand dollars a year for someone to run their meetings, which makes no sense.This demonstrates zero comprehension of Calgary’s economic reality. Our city is in the third year of a recession. Tens of thousands have lost their jobs and many more have had their salaries slashed.City Hall’s response is a 51% tax hike for residents and 70% tax hike for business.The City needs to cut unnecessary spending, rein in rampant tax increases, streamline operations, maximize efficiencies and stop paying millions of dollars to consultants for more studies.It’s time for a common sense approach.SAFE AND VIBRANT COMMUNITIESI have the greatest respect for the first responders that serve our city. These are the brave men and women who risk their lives on a daily basis to make our community safe for the rest of us.In recent years we’ve seen crime dramatically increase on our streets, in our homes and on our public transit system. The recent city budget called for hiring 15 new people. Were they police officers?  No, they were communications bureaucrats.Everyone has a role to play in making our city safe, but it starts with the Mayor and City Council. We must ensure that there are adequate and efficiently deployed resources for Police and FireYour hard earned taxpayer dollars should be spent prudently and where needs are greatest."
Mayor,Brent Chisholm,challenger,Brent Chisholm - Mayor,"Hello, my name is Brent Chisholm.I’m in the running to become the next Mayor of Calgary; at the same time the best one who has ever held  the position. Saying that, I will be fulfilling my mayoralty obligations and doing what is Best for the city of Calgary at home and abroad.I will not be doing any shady deals to handicap or hinder  company for benefit of a certain one. I call a spade a spade and if I’m asked, I’ll answer the question to the best of my knowledge, most likely do some more research on that and on other matters also.  I will lead by example and I’m asking the citizens of this city to call their alderperson if there is something that they don’t like in their neighborhood. I’d like them to document the date, time, and who they spoke to even if it was an answering machine. If they don’t get a call back from that alderperson in a week, call me on the eighth day so I can round up some city employees in that particular division and have it dealt with. I wouldn’t be surprised if I’m out on the job helping get it completed. Team work gets it done Faster and Better.I want the politicians to work for their money instead of bankrolling the public. When I get 2000 phoned in complaints from the citizens of this city I’ll be asking those citizens to fax me the documents that they wrote up on the date, time, who they spoke to, and if that problem was dealt with and by whom  in a timely fashion. I’ll be inviting said citizens who had complaints and to city hall so they can voice their neglect to said alderpersons. If certain alderpersons aren’t doing their job that they’re being paid for to tell them there Fired! I want all of city council, including myself to be held accountable to the citizens of this city. I personally would like to abolish the pension plan for alderpersons and the Mayor. They can collect old age pension when they get that age if anything is left. If they can’t live off the wage that they’re getting then they shouldn’t be where there at!  I’d like to bring the wages back to reality and if alderpersons or other mayoralty candidates want to keep fleecing the citizens of this city on how much their worth, that means they’re not worth it!I am Best Value as a person that’s running for Mayor and the Best person to give this city’s citizens theBest Bang for their Buck!!Thank you,Brent ChisholmFor the next term as your Mayor."
Mayor,David Lapp,challenger,David Lapp - Mayor,"I pledge to you:1.	To remember it’s your money, not mine.•	Initiate a full forensic audit of all the city’s dealings – operating budgets AND capital budgets•	Restrain spurious City Hall expenditures through getting back to basic services in the city•	Initiate a long and lasting tax cut to businesses and residents in this city2.	To keep your family safe.•	Bring law and order back to the streets of Calgary•	Bring community policing back with beat cops and quality community liaisons•	Reenergize policing by continuing to build bridges between Alberta Health Services, the Police, homeless agencies, families, churches, schools and community representatives with a collaborative approach3.	To keep Calgary’s neighbourhoods and Community Associations as the focal point of decision making.•	Rebirth our whole citywide model of Community Associations, working to enshrine certain legislative powers at the neighbourhood level•	Directly support families as the key building block of our city•	Facilitate the development of before and after school care initiatives at key neighbourhood focal pointsCalgary’s economy is in a tailspin. Our unemployment is at a record high and there are vast amounts of people living in poverty. This is not the same city that it used to be. Calgary is at a crossroads and Calgarians should consider their choice very carefully when they take to the polls. This is a generational election. The issues being debated today will affect this city for decades.Calgarians know that City Hall’s spending priorities are heading in exactly the wrong direction. Instead of funding basic services like transit, police, fire, roads and the like, City Hall has gone on a spacewalk experimenting with social engineering, income redistribution and vanity projects. The Blue Ring and Bowfort Towers characterize the train wreck of City Hall malpractice, which proves how out of touch they are with the average Calgarian.As many Calgarians know, the violent crime rate in Calgary has risen in a more aggressive fashion then in any other major Canadian city. A Lapp administration would be unequivocal on tough-on-crime measures. A more affective police funding model needs to be adopted and more dynamic relationships need to be built between police and community stakeholders. The best approach to fighting crime is two pronged: 1) Fund more beat patrols, and 2) Stimulate a sense of belonging in our neighbourhoods. City Hall should be facilitating strong initiatives for families in our communities, such as before and after school programs, daycare and nutritional programs for children. It also goes without saying that the police and neighbourhoods should be working together to confront the opioid crisis head on.  Calgary needs a police force that enforces laws, prevents crime trends and stimulates life in every corner of our society."
Mayor,Emile Gabriel,challenger,Emile Gabriel - Mayor,"1-Streamlining and improving the process of making critical decisions at council to make it efficient, effective and productive.A- Genuine public involvement (true direct democracy and true representation. I plan to provide more opportunities for greater community engagement and public consultations).B- Available modern management techniques and tools in prioritizing, debating, eliminating bias, reaching consensus and making the best decisions and choices for the people of our city will be utilized.This would result in significant multiple positive effects, leading to business and economic growth, employment opportunities, easing the cost of housing and providing better city mobility, ultimately, achieving residents' satisfaction.  Economic growth and employment opportunities are essential ingredients for increasing SAFETY.2- Intelligently, thoughtfully and carefully reforming the city taxation system.- Short term: Saving money by cutting waste, duplication, ending unwise spending and postponing non-urgent or ill-conceived projects to allow for freezing taxes for a reasonable, fixed period of time (to provide also a sense of stability), while maintaining essential services.- Long term: Taxes to be made affordable and conducive while providing a cushion to weather economic down turns.3- Growing the EconomyHaving been an entrepreneur, I understand the difficulties facing the business community, the uncertainty and unpredictability. City rules, regulations, policies and by-laws will need modernization and simplification in order to:- Replace the current practices of random, slow, wasteful, scattered and under-funded plans and projects.- Incite business growth and attract new investments and capital, thus, generate new employments and increase revenue."
Mayor,Larry Heather,challenger,Larry Heather - Mayor,"1. Cut City Staffing by one-third. City Hall is a Growth Panning Monstrosity afflicted with the  organizational equivalent of gigantism. Unnecessary and distortion producing growth due to pituitary overproduction of HGH.2. Reversal of the renaming of Langevin Bridge to Reconciliation Bridge. Restraining over emphasis of Aboriginal input, and dumping of invocation of Treaty Seven sovereignty that replaced the Council Prayer. Educate on the false historical revisionism of Canada’s History. Promote the Commonwealth and the monarchy as an irreplaceable part of Canada’s History.3. Commitment to restore the Lordship of Christ over the Mayor’s Office To honor the Supremacy of God as the basis for the Rule of law.4. Dissolving the Municipal Land Corporation to get the City out of profiting from the manipulation and speculation of land pricing.5.  Seek to Remove Bowfort Towers to a more suitable location such as the entrance to a Calgary landfill. Revoking of the Public Art policy, and making grants conditional per location, subject to public scrutiny before project is chosen.6. Reinstate the older hours when a playground speed zone was applicableDo not allow schools to be designated playground zones. Oppose any moves to lower residential speeds down to 40 or 30kph across the City.7. Phase out the use of CRL districts and the ruse of Bonus Density slush-funds.8. Educate and honor the existence of R1 Community zoning and restrict the secondary suites areas, reinstate the application fees.9. Reduce the cycletrack network on major roads, limit the growth of cycling lanes to proven usage only. Proper reporting of non-distorting statistics,10. Stop the needless replication of Provincial and Federal Ministry Departments and functions within the City structure.11. Scale back on the ‘royalty language’ of design. We should serve the taxpayer, not the excessive vision of a bankrupting, Socialust regime. Drastically reduce the amount of time spent In Camera from the public scrutiny.12. Reversing the Diversity, Equal Gender hiring mandates of the Civic positions, Police Force, and Fire Department. All positions to be merit based only. Work on cutting the supply chain of illegal drugs. Educate citizens on the harm of so-called legalized drugs.13. Refuse as much as possible, all Provincial and Federal funding based on ill defined Carbon Taxes, environmental penalties which are harmful to the oil and gas economy of Calgary.14. Repeal and Replace the bankrupting and foolish, excessive urban designs of Imagine Calgary, The Municipal Development Plan, and the Calgary Transportation Plan. Restore the primacy of the automobile and truck to our mode of transportation.15. Drastically reduce property and business taxes, let the business growth develop along consumer demand, not socialistic projections.16. Revoke Speech Killing Mailbox bans .17. Fighting Congestion - Make vehicle travel in Calgary efficient again will be a major focus of Larry’s term."
Mayor,Naheed Nenshi,incumbent,Naheed Nenshi - Mayor,"Seven years ago, you gave me the incredible opportunity to serve as your mayor and to work with you to realize your hopes and dreams for Calgary.Together, we have accomplished so much. Even in difficult economic times, even where global forces of division seem to be winning, Calgary remains one of the best places in the world to live: The Economist calls us one of the five best cities to live in the entire world.The last seven years, we’ve seen tremendous change in Calgary. We’ve invested more in infrastructure than ever before in our city – improving our road networks, building social infrastructure like recreation centres and libraries, and strengthening public transit. Our city is better planned and we’re in excellent financial shape, with the lowest taxes of any major city in Canada and a stellar credit rating.But we must keep moving forward. This is not the time to retrench; it’s not the time to give in to smaller dreams nor the time to give up. My platform centers around three distinct themes.Better Economy - We are in the midst of a fragile economic recovery, which must be sustained. Too many of our neighbours continue to feel the pain of unemployment and uncertainty about the future. We have to work in three areas: Selling Calgary means promoting our city to businesses, investors and skilled workers around the globe. We also need to create centres of excellence and growth in new industries where we have strength but need to grow to become a major global player. We need to aggressively secure funding from other orders of government to help build infrastructure we need to strengthen our economy and improve our communities, like the Green Line LRT, which will be the largest public works project in Alberta’s history, while ensuring all projects are completed on time and on budget. Finally, promoting entrepreneurship and innovation; helping Calgarians reach their potential, selling our expertise globally and making it even easier to start a business. This means cutting even more red tape, helping City Hall be a partner in business success.Stronger and Safer Communities - Every neighbourhood in Calgary must be safe, and every person must have the chance to succeed. This means a new focus on safety, housing, addiction, poverty and the environment. It also means investing in community infrastructure like libraries, rec centres and firehalls, ensuring we build the flood mitigation we need, and promoting and protecting our diversity every single day.Smarter City Hall – Using our citizen-centric approach, we’ve found over $325 million in efficiencies and kept Calgary’s taxes the lowest of any big city in Canada. But we need to do more: finding efficiencies, reforming the assessment and appeals process, making it easier to do business with the City, and using the City Charter to get even better.There’s a choice this election: turtle and hope the economic downturn passes, or boldly keep moving forward. That choice is clear."
Ward 1,Cam Khan,challenger,Cam Khan - Ward 1,"As Bow River flows in the heart of our communities, lets us make Ward-1 one the best neighborhoods for the living and raising the families, safest, naturally beautiful, healthiest, and scenic community in the entire city of Calgary. Following are few highlights of communities improvements plans:- Freshly painted, nice &amp; clean roads. Snow removal on time. Front yard and community lawns' grass on time mowing.- Many communities need new Schools e.g. Valley Ridge &amp; Crestmont.  I will fight for your rights on these and similar issues.- Lots of intersections in our communities need traffic lights. Many communities need ice hockey rinks and basket ball courts. I will work on these essential recreational necessities.- Outdoor children play grounds need to be upgraded &amp; renovated. Communities need more cycle and pedestrian paths. I will be your voice for all these matters.- Together we will work towards small business corporations' tax breaks. I will be your voice in the city council for property tax relief as well.- NW communities' high demand for LRT link from University to Calway park through 16th Avenue, I will bring this your long-standing proposal on the table of the council.- Subsidies for gyms for qualifying community individuals.- One subsidized back and forth fast LRT &amp; BRT commute to downtown every day (7:00 am &amp; return 5:00 pm).-Community entertainment night once every 3 months. Free movie in the community hall and much more!- Abundant flower beds and plenty of lush green areas will be flourished.I am asking all my neighborhoods families and friends for Vote on October 16, 2017, for positive changes in our community."
Ward 1,Chris Blatch,challenger,Chris Blatch - Ward 1,"WHAT DO I STAND FOR?Everyone deserves a Sensible, Approachable, Accessible, and Personable City Council. I am devoted to open dialogue, and sensible coherent policies based on a common sense approach that understands, listens, and values constituents. I will be your voice to ensure:1: Accountability &amp; PrioritizationI will ensure Council identifies and organizes it’s priorities.The Current Council tries to defer responsibility by delegating vital decisions to unaccountable committees. They refuse to make decisions and pour money into unending studies to avoid accountability.In tough economic times, tough decisions need to be made.Unfortunately, we can’t have it all. I will make certain that Council’s first focus is on necessities, and only then moves forward with other reasonable projects. I will keep constituents informed of what is impacting their communities, ensuring Calgarians know the decisions I make and the reasons behind them.2: Fiscal Responsibility:Council must learn to “live within its means”. Taxpayers are not a bottomless source of funds. I am dedicated to identifying which projects are necessary, viable, and will have the greatest return on investment. I will uphold the responsibility of ensuring that every dollar is used wisely, doing away with frivolous spending. I will not forget that every tax dollar comes from the homes of hard working Calgarians.3: Decency &amp; DecorumCalgarians deserve a City Council they can be proud of. A Council that acts on behalf of Calgarians, rather than themselves. I will stand against petty rivalries, rude behavior, and the embarrassing antics that are often displayed within out current Council. As your representative, my duty is to ensure your voice is heard and your concerns are fairly addressed. It’s time to change the unprofessional behavior that has become the daily norm at City Hall.4: Sensible Transit InfrastructureCalgary needs coherent infrastructure policies, that ensures affordable and effective transportation for all Calgarians. We need to make it cheap and easy to jump on city transit, and for Calgarians to be able to travel by road quickly and safely.5: Safe Livable CommunitiesCouncil must focus on common sense ways to ensure our communities are safe and livable. Front-line community-based policing is vital for the healthy growth of our city. Communities need safe roads, adequate green spaces, recreation opportunities, and accessible amenities –such as markets and libraries– to keep our communities vibrant places we want to live."
Ward 1,Cole Christensen,challenger,Cole Christensen - Ward 1,"As Ward 1 councillor, I would advocate for sustainable street planning and transportation options, a reformed secondary suite process, no corporate handouts, and an increased accessibility to voting for eligible residents."
